<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.07.01	122.483	123.232	122.352	123.163	105112	0	6
2015.07.02	123.154	123.719	122.952	123.044	107165	0	4
2015.07.03	123.049	123.179	122.597	122.870	80623	0	5
2015.07.06	121.985	122.926	121.841	122.561	144764	0	6
2015.07.07	122.560	122.880	122.002	122.521	144701	0	6
2015.07.08	122.517	122.561	120.408	120.695	189780	0	6
2015.07.09	120.695	121.573	120.456	121.323	150174	0	6
2015.07.10	121.321	122.876	121.272	122.751	142987	0	6
2015.07.13	122.305	123.530	122.305	123.414	126331	0	6
2015.07.14	123.416	123.728	122.912	123.381	107618	0	6
2015.07.15	123.380	123.966	123.256	123.751	114377	0	6
2015.07.16	123.749	124.173	123.718	124.140	111574	0	6
2015.07.17	124.141	124.227	123.911	124.047	86621	0	9
2015.07.20	124.029	124.370	124.023	124.275	48911	0	10
2015.07.21	124.268	124.471	123.757	123.860	111358	0	9
2015.07.22	123.847	124.145	123.566	123.940	103851	0	8
2015.07.23	123.947	124.184	123.671	123.885	131496	153280525000	9
2015.07.24	123.851	124.092	123.593	123.821	116881	156787935000	9
2015.07.27	123.753	123.833	123.006	123.235	131486	180779937000	7
2015.07.28	123.233	123.790	123.072	123.543	131434	186995536000	7
2015.07.29	123.548	124.022	123.328	123.935	132138	183188314000	3
2015.07.30	123.902	124.577	123.865	124.134	130563	187108549000	4
2015.07.31	124.119	124.371	123.516	123.850	145026	197508456000	8
2015.08.03	123.866	124.267	123.852	124.026	121611	182850371000	4
2015.08.04	124.017	124.398	123.797	124.371	134861	181772585000	4
2015.08.05	124.372	125.009	124.014	124.842	134314	172934331000	7
2015.08.06	124.836	124.959	124.538	124.722	120016	168965333000	5
2015.08.07	124.708	125.064	124.100	124.203	102148	126835727000	5
2015.08.10	124.145	124.779	124.145	124.601	71168	86343277000	5
2015.08.11	124.607	125.203	124.516	125.035	109222	136358278000	4
2015.08.12	125.096	125.276	123.788	124.124	125095	157866645000	9
2015.08.13	124.184	124.624	124.064	124.378	94031	116970660000	4
2015.08.14	124.396	124.530	124.052	124.313	90929	122138787000	9
2015.08.17	124.213	124.571	124.170	124.356	97686	132442949000	9
2015.08.18	124.356	124.511	124.177	124.370	108938	155786420000	9
2015.08.19	124.372	124.466	123.685	123.690	135892	180064437000	9
2015.08.20	123.758	124.153	123.326	123.375	142105	184856209000	9
2015.08.21	123.380	123.493	121.811	122.049	184992	223744277000	9
2015.08.24	121.863	122.021	116.131	118.345	270643	187196925000	3
2015.08.25	118.364	120.393	118.246	118.843	271247	256789620000	6
2015.08.26	118.828	120.010	118.446	119.827	250078	236781967000	9
2015.08.27	119.868	121.394	119.788	120.992	209596	193698286000	9
2015.08.28	120.992	121.741	120.648	121.712	170291	189645636000	9
2015.08.31	121.635	121.635	120.878	121.215	126268	161070032000	9
2015.09.01	121.191	121.262	119.249	119.359	205599	219564766000	8
2015.09.02	119.329	120.462	119.215	120.320	183059	208739227000	9
2015.09.03	120.318	120.694	119.637	120.046	162052	194083479000	9
2015.09.04	120.057	120.183	118.591	119.017	182046	196002947000	9
2015.09.07	118.892	119.585	118.795	119.260	124514	124968027000	9
2015.09.08	119.229	120.223	118.849	119.798	167014	179156693000	9
2015.09.09	119.774	121.193	119.769	120.515	203085	258404409000	9
2015.09.10	120.448	121.326	119.973	120.603	208745	234691444000	9
2015.09.11	120.587	120.964	120.358	120.568	156580	180219121000	9
2015.09.14	120.490	120.839	119.849	120.191	151059	186748573000	9
2015.09.15	120.213	120.649	119.396	120.405	162220	217385817000	9
2015.09.16	120.405	120.724	120.104	120.555	156557	234386025000	9
2015.09.17	120.551	120.989	119.789	119.996	158224	187893689000	9
2015.09.18	119.986	120.408	119.051	119.962	186132	216164412000	9
2015.09.21	120.114	120.655	119.722	120.551	149420	190690641000	9
2015.09.22	120.537	120.605	119.691	120.144	159462	218334955000	9
2015.09.23	120.132	120.540	119.622	120.262	168974	218405067000	9
2015.09.24	120.248	120.387	119.222	120.041	200578	254980694000	9
2015.09.25	120.106	121.230	120.020	120.577	201896	250619016000	9
2015.09.28	120.496	120.588	119.693	119.913	178947	227583206000	9
2015.09.29	119.911	120.157	119.246	119.725	198697	245344005000	9
2015.09.30	119.727	120.346	119.545	119.872	172479	221964998000	4
2015.10.01	119.871	120.272	119.489	119.911	173372	215816385000	9
2015.10.02	119.912	120.401	118.676	119.903	184779	204583582000	9
2015.10.05	119.985	120.547	119.865	120.451	164192	213957014000	9
2015.10.06	120.453	120.564	120.104	120.220	145185	204847120000	9
2015.10.07	120.202	120.358	119.744	120.001	156057	215142790000	9
2015.10.08	119.996	120.105	119.621	119.924	143342	206007739000	8
2015.10.09	119.910	120.344	119.833	120.211	127204	186775093000	9
2015.10.12	120.163	120.260	119.890	120.024	72373	105502096000	9
2015.10.13	120.019	120.076	119.549	119.725	106859	158371113000	9
2015.10.14	119.722	119.796	118.628	118.826	135815	188067110000	9
2015.10.15	118.821	119.165	118.058	118.890	147647	194068254000	9
2015.10.16	118.873	119.659	118.826	119.459	124771	166091033000	9
2015.10.19	119.377	119.608	119.135	119.495	123572	166705088000	9
2015.10.20	119.482	119.959	119.396	119.842	114240	172409825000	9
