<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.04.14	1.05658	1.07043	1.05311	1.06539	77117	0	4
2015.04.15	1.06534	1.07015	1.05705	1.06869	82189	0	4
2015.04.16	1.06869	1.08172	1.06246	1.07592	109153	0	5
2015.04.17	1.07592	1.08481	1.07343	1.08089	92329	0	4
2015.04.20	1.08089	1.08195	1.07120	1.07379	71150	0	4
2015.04.21	1.07379	1.07808	1.06594	1.07333	88718	0	4
2015.04.22	1.07333	1.08004	1.07079	1.07253	92181	0	4
2015.04.23	1.07253	1.08458	1.06655	1.08245	100340	0	4
2015.04.24	1.08245	1.08996	1.07842	1.08700	100443	0	4
2015.04.27	1.08627	1.09263	1.08191	1.08869	86221	0	4
2015.04.28	1.08897	1.09905	1.08595	1.09788	100394	0	4
2015.04.29	1.09767	1.11875	1.09591	1.11265	117774	0	4
2015.04.30	1.11277	1.12659	1.10708	1.12222	143218	0	4
2015.05.01	1.12188	1.12896	1.11742	1.11967	102047	0	4
2015.05.04	1.11922	1.12238	1.11224	1.11469	62220	0	4
2015.05.05	1.11444	1.12203	1.10662	1.11849	21097	0	2
2015.05.06	1.11851	1.13693	1.11749	1.13447	41796	0	1
2015.05.07	1.13473	1.13918	1.12371	1.12657	31166	0	1
2015.05.08	1.12654	1.12876	1.11789	1.12085	34340	0	5
2015.05.11	1.12000	1.12053	1.11305	1.11542	48198	0	6
2015.05.12	1.11544	1.12780	1.11337	1.12127	105463	0	7
2015.05.13	1.12127	1.13821	1.12019	1.13542	86143	0	5
2015.05.14	1.13535	1.14442	1.13402	1.14095	105449	0	5
2015.05.15	1.14094	1.14661	1.13233	1.14466	77665	0	1
2015.05.18	1.14485	1.14485	1.12979	1.13140	51726	0	6
2015.05.19	1.13146	1.13256	1.11184	1.11490	112121	0	7
2015.05.20	1.11506	1.11514	1.10616	1.10932	122301	0	7
2015.05.21	1.10917	1.11807	1.10790	1.11113	109322	0	4
2015.05.22	1.11113	1.12069	1.10016	1.10141	105137	0	7
2015.05.25	1.10052	1.10089	1.09584	1.09769	60698	0	7
2015.05.26	1.09764	1.09806	1.08626	1.08723	113774	0	5
2015.05.27	1.08718	1.09284	1.08185	1.09034	107899	0	7
2015.05.28	1.09035	1.09579	1.08681	1.09473	117478	0	7
2015.05.29	1.09471	1.10053	1.09251	1.09895	104414	0	7
2015.06.01	1.09835	1.09876	1.08865	1.09258	118185	0	5
